;identifier;titulo;descripcion;autor;fecha_publicacion;idioma;descargas;tamano;temas;formato;url;topics;data;num_favoritos;num_revisions;m4b_links
337;coco_bolo_2105_librivox;Coco Bolo: King of the Floating Island;"LibriVox recording of Coco Bolo: King of the Floating Island by Sidford Frederick Hamp. Read in English by TR Love; Deanna; JoannaH; Liz H. Sisters Margaret and Frances wait for their younger brother Edward to go for a nap before embarking on the adventure of trying to stand on the heads of their shadows. Daddy sees them and encourages them to chase further adventures of childhood, little suspecting where they will take them. - Summary by Lynne Thompson For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (40MB)";['Sidford Frederick Hamp'];2021-05-21T00:00:00Z;['eng'];31478;402557120;['librivox', 'audiobooks'];audio;https://archive.org/details/coco_bolo_2105_librivox;librivox, audiobooks, ;2021-05-21;1;31478;[{'url': 'https://archive.org/download/coco_bolo_2105_librivox/CocoBolo_librivox.m4b', 'text': 'M4B Audiobook (40MB)'}]
338;grimmsfairytales_2104_librivox;Grimms' Fairy Tales (Version 3);"LibriVox recording of Grimms' Fairy Tales (Version 3) by Jacob & Wilhelm Grimm. (Translated by Marian Edwardes; Edgar Taylor.) Read in English by Cliff Stone Grimms' Fairy Tales, originally known as the Children's and Household Tales, is a German collection of fairy tales or folk lore by the Grimm brothers or ""Brothers Grimm"", Jacob and Wilhelm, first published on 20 December 1812. - Summary by Cliff Stone For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (270MB)";['Jacob & Wilhelm Grimm'];2021-04-14T00:00:00Z;['eng'];45327;1717773756;['librivox', 'audiobooks', 'fairy tales', 'myths', 'folk lore', 'fantansies'];audio;https://archive.org/details/grimmsfairytales_2104_librivox;librivox, audiobooks, fairy tales, myths, folk lore, fantansies;2021-04-14;19;45327;[{'url': 'https://archive.org/download/grimmsfairytales_2104_librivox/GrimmsFairyTales3_librivox.m4b', 'text': 'M4B Audiobook (270MB)'}]
339;historycivilwar_2103_librivox;History of the Civil War, 1861-1865;LibriVox recording of History of the Civil War, 1861-1865 by James Ford Rhodes. Read in English by Celine Major Superbly written, this overview of the Civil War, won a Pulitzer Prize in History in 1918. Rhodes covers not only the battles and the generals of the war but gives us a good deal of insight into the politics, economics, international relations and the strategy/thinking of the times. When at times he brings forth an opinion it is clearly stated, so as not to be confused with the facts. Comprehensive and enjoyable, you will find this History of the Civil War both illuminating and captivating. NOTE: Footnotes will not be read but can be found online at https://archive.org/details/historycivilwar01rhodgoog/mode/2up. - Summary by Celine Major For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer...;['James Ford Rhodes'];2021-03-12T00:00:00Z;['eng'];34118;2076922296;['librivox', 'audiobooks', 'history', 'south', 'pulitzer', 'civil war', 'north', 'Confederacy', 'Union'];audio;https://archive.org/details/historycivilwar_2103_librivox;librivox, audiobooks, history, south, pulitzer, civil war, north, Confederacy, Union;2021-03-12;13;34118;[{'url': 'https://archive.org/download/historycivilwar_2103_librivox/HistoryCivilWar1861-1865_librivox.m4b', 'text': 'M4B Audiobook (336MB)'}]
340;lostmrlinthwaite_2112_librivox;The Lost Mr. Linthwaite;LibriVox recording of The Lost Mr. Linthwaite by J. S. Fletcher. Read in English by Steven Seitel A quest to track down his missing uncle (Mr. Linthwaite) leads investigative journalist Richard Brixey to the mysterious medieval town of Silchester, England. What actually happened in the ruins of the Priory, and why are all the potential witnesses so uncooperative? Who is the mysterious Mrs. Byfield and what is her long-buried connection to Mr. Linthwaite? What is the secret plot that Mr. Linthwaite stumbled into, and so had to be removed? Is he dead or alive? And, will the energetic Brixey fall for the lovely Miss Georgina or not? A fascinating British mystery by a master of the genre. (Summary by Steven Seitel) For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B...;['J. S. Fletcher'];2021-12-10T00:00:00Z;['eng'];43648;1273408731;['librivox', 'audiobooks', 'Mystery', 'silchester'];audio;https://archive.org/details/lostmrlinthwaite_2112_librivox;librivox, audiobooks, Mystery, silchester;2021-12-10;2;43648;[{'url': 'https://archive.org/download/lostmrlinthwaite_2112_librivox/LostMrLinthwaite_librivox.m4b', 'text': 'M4B Audiobook (202MB)'}]
341;authorsfarce_2108_librivox;The Author's Farce;"LibriVox recording of The Author's Farce by Henry Fielding. Read in English by Availle; ToddHW; Greg Giordano; Larry Wilson; Sonia; Jim Locke; Devorah Allen; Adrian Stephens; Alan Mapstone; David Purdy; Tomas Peter; Grace Buchanan; Andrew Gaunce; Joanna Michal Hoyt; czandra; Algy Pug; Michele Eaton; Rob Marland; Sandra Schmit; Rémi; Kelly S. Taylor; Hanna Ponomarenko; James R. Hedrick; Mark Kilkelly; Jake Malizia Henry Fielding could not write plays that he could get published. So he decided to write a play - a farce - about that, and success was his at last. The third act of the play is the play that the Author in the play supposedly writes - a Puppet Show (though acted by people) called The Pleasures of the Town. - Summary by ToddHW Cast list: Luckless, the Author and Master of the Show: Adrian Stephens Witmore, his friend: Greg Giordano Marplay Senior, Comedian: Alan Mapstone Marplay Junior, Comedian: Availle Bookweight, a Bookseller: ToddHW Scarecrow, a Scribler: David Purdy Dash,...";['Henry Fielding'];2021-08-06T00:00:00Z;['eng'];19887;387617759;['librivox', 'audiobooks', 'getting published', 'puppet show', 'london life'];audio;https://archive.org/details/authorsfarce_2108_librivox;librivox, audiobooks, getting published, puppet show, london life;2021-08-06;3;19887;[{'url': 'https://archive.org/download/authorsfarce_2108_librivox/AuthorsFarce_librivox.m4b', 'text': 'M4B Audiobook (64MB)'}]
342;biblische_geschichten_fur_die_jugend_2106_librivox;Biblische Geschichten des alten und neuen Bundes für die Jugend;LibriVox recording of Biblische Geschichten des alten und neuen Bundes für die Jugend by Christoph von Schmid. Read in German by lorda Christoph von Schmid war katholischer Pfarrer und geistlicher Schriftsteller. Aus Überzeugung und pädagogischer Berufung schrieb er zahlreiche kleine Erzählungen für Kinder in welchen Gott das Gute siegen lässt. Auch hat er viele Gedichte verfasst, wobei 'Die Kinder bey der Krippe', vertont unter dem Namen 'Ihr Kinderlein, kommet', wohl am bekanntesten ist. In den vorliegenden 100 kurzen Geschichten gibt Christopf von Schmid Begebenheiten aus der Bibel kindgerecht wieder. Abschnitt 1 – 50 enthalten Geschichten aus dem alten Testament, indem die Abschnitte 51 – 100 das neue Testament repräsentieren. (Zusammenfassung von lorda) For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a...;['Christoph von Schmid'];2021-06-10T00:00:00Z;['deu'];26209;1380407361;['librivox', 'audiobooks', 'German', 'religion', 'Deutsch', 'Kinder', 'Bibel'];audio;https://archive.org/details/biblische_geschichten_fur_die_jugend_2106_librivox;librivox, audiobooks, German, religion, Deutsch, Kinder, Bibel;2021-06-10;;26209;[{'url': 'https://archive.org/download/biblische_geschichten_fur_die_jugend_2106_librivox/BiblischeGeschichtenJugend_librivox.m4b', 'text': 'M4B Audiobook (219MB)'}]
343;frombangkoktobombay_2102_librivox;From Bangkok to Bombay (Siam, French Indo-China, Burma and Hindustan);LibriVox recording of From Bangkok to Bombay (Siam, French Indo-China, Burma and Hindustan) by Frank G. Carpenter. Read in English by BettyB Another entry in Carpenter's geographical reader series with information on the peoples, cultures, and everyday life of this Asian area. - Summary by BettyB For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit LibriVox.org . M4B Audiobook (250MB);['Frank G. Carpenter'];2021-02-02T00:00:00Z;['eng'];69210;1481798193;['librivox', 'audiobooks', 'culture', 'religion', 'Asia', 'geography', 'industry', 'everyday life', 'post ww 1'];audio;https://archive.org/details/frombangkoktobombay_2102_librivox;librivox, audiobooks, culture, religion, Asia, geography, industry, everyday life, post ww 1;2021-02-02;4;69210;[{'url': 'https://archive.org/download/frombangkoktobombay_2102_librivox/BankokBombay_librivox.m4b', 'text': 'M4B Audiobook (250MB)'}]
344;science_history_of_the_universe_vol_8_2106_librivox;The Science - History of the Universe Vol. 8: Mathematics;LibriVox recording of The Science - History of the Universe Vol. 8: Mathematics by Francis Rolt-Wheeler. Read in English by LibriVox volunteers. Multi-volume work on science edited by Francis Rolt-Wheeler. The eighth volume is on Pure Mathematics written by L. Leland Locke and on Mathematical Applications written by Dr. Franz Bellinger. An introduction was written by Professor Cassius J. Keyser with a special section on the Foundation of Mathematics. The Pure Mathematics section discusses numbers - its conception and calculations, as well as different areas of mathematics - algebra, geometry, trigonometry. The last section goes into the different applications of mathematics. - Summary by Sienna For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (283MB);['Francis Rolt-Wheeler'];2021-06-01T00:00:00Z;['eng'];51468;1742598667;['librivox', 'audiobooks', 'science', 'mathematics', 'geometry', 'Numbers', 'aviation', 'machines', 'calculations', 'trigonometry', 'mathematical applications', 'algebra', 'analytic geometry'];audio;https://archive.org/details/science_history_of_the_universe_vol_8_2106_librivox;librivox, audiobooks, science, mathematics, geometry, Numbers, aviation, machines, calculations, trigonometry, mathematical applications, algebra, analytic geometry;2021-06-01;8;51468;[{'url': 'https://archive.org/download/science_history_of_the_universe_vol_8_2106_librivox/TheScience8_librivox.m4b', 'text': 'M4B Audiobook (283MB)'}]
345;childrensbookofchristmasstories_2104_librivox;The Children's Book of Christmas Stories;"LibriVox recording of The Children's Book of Christmas Stories by Asa Don Dickinson. Read in English by BettyB; Wendy Hall; mleigh; Colleen McMahon; Heidi L. Johnson; Diane Castillo; Retroindiereader; Kenny Harrington; Larry Wilson; Louise Poulsom; Rich Brown; Corrie Giffone; RomaSingh; Amelia Brennan; Melissa Buell; Kathleen Moore; Shriya; Shasta This books is a select collection of Christmas Stories in one volume. It is just that and nothing more. Each of the stories has already won the approval of thousands of children, and each is fraught with the true Christmas spirit. It is hoped that the collection will prove equally acceptable to parents, teachers, and librarians. - Summary by the author For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (240.2MB)";['Asa Don Dickinson'];2021-04-06T00:00:00Z;['eng'];42180;1455208723;['librivox', 'audiobooks'];audio;https://archive.org/details/childrensbookofchristmasstories_2104_librivox;librivox, audiobooks, ;2021-04-06;4;42180;[{'url': 'https://archive.org/download/childrensbookofchristmasstories_2104_librivox/ChildrensChristmasBook_librivox.m4b', 'text': 'M4B Audiobook (240.2MB)'}]
346;darknessanddaylight_2111_librivox;"Darkness and Daylight; or, Lights and Shadows of New York Life";"LibriVox recording of Darkness and Daylight; or, Lights and Shadows of New York Life by Lyman Abbott; Thomas Wallace Knox; Helen S. Campbell; Thomas Byrnes. Read in English by volunteer readers. A Pictorial Record of Personal Experiences by Day and Night in the Great Metropolis, with hundreds of thrilling anecdotes and incidents, sketches of life and character, humorous stories, touching home scenes, and tales of tender pathos, drawn from the bright and shady sides of the great under world of New York. By Mrs. Helen Campbell, City Missionary and Philanthropist; Col. Thomas W. Knox, Author and Journalist; and Supt. Thomas Byrnes, Chief of NY Police and Detectives. With highly interesting descriptions of little known phases of New York life; and an account of Detective Byrnes' thirty years' experiences and reminiscences written by himself from his private diary. With an introduction by Rev. Lyman Abbott, D.D., Pastor of Plymouth Church. This volume aims to give scrupulously exact...";"['Lyman Abbott; Thomas Wallace Knox; Helen S. Campbell; Thomas Byrnes']";2021-11-04T00:00:00Z;['eng'];73376;3770255077;['librivox', 'audiobooks', 'Crime', 'society', 'sociology', 'immigrants', 'city', 'mission', 'tenements', 'slums', 'social life'];audio;https://archive.org/details/darknessanddaylight_2111_librivox;librivox, audiobooks, Crime, society, sociology, immigrants, city, mission, tenements, slums, social life;2021-11-04;6;73264;[{'url': 'https://archive.org/download/darknessanddaylight_2111_librivox/DarknessDaylight01-22_librivox.m4b', 'text': 'M4B Audiobook 01-22 (344MB)'}, {'url': 'https://archive.org/download/darknessanddaylight_2111_librivox/DarknessDaylight23-44_librivox.m4b', 'text': 'M4B Audiobook 23-44 (276MB)'}]
347;ma_double_vie_memoires_2109_librivox;Ma double vie, mémoires;LibriVox recording of Ma double vie, mémoires by Sarah Bernhardt. Read in French by Christiane Jehanne Biographie. Sarah Bernhardt évoque avec un grand talent et une belle plume fluide et très alerte, drôle aussi, son enfance, sa famille, ses relations complexes avec sa mère, ses débuts, la guerre de 1870, son infirmerie au théâtre de l’Odéon, la Commune. La Comédie française bien sûr. Les grands auteurs, Dumas, Hugo... Ses représentations à Londres. Sa vie aussi de peintre et sculptrice. Son enfant, Maurice. Sa personnalité si particulière ! Sa tournée en Amérique du Nord, anecdotes, aventures, villes américaines, rencontre avec Edison, visite aux chutes du Niagara, et ses représentations théâtrales. Ces Mémoires s’achèvent là, en 1881. Ils furent écrits en 1898 et publiés en 1907. - Summary by Christiane Jehanne For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for...;['Sarah Bernhardt'];2021-09-16T00:00:00Z;['fre'];73723;2537763373;['librivox', 'audiobooks', 'theatre', 'actrice', 'comédienne'];audio;https://archive.org/details/ma_double_vie_memoires_2109_librivox;librivox, audiobooks, theatre, actrice, comédienne;2021-09-16;3;73723;[{'url': 'https://archive.org/download/ma_double_vie_memoires_2109_librivox/MaDoubleVie01-14_librivox.m4b', 'text': 'M4B Audiobook 01-14 (234MB)'}, {'url': 'https://archive.org/download/ma_double_vie_memoires_2109_librivox/MaDoubleVie15-27_librivox.m4b', 'text': 'M4B Audiobook 15-27 (195MB)'}]
348;sei_personaggi_in_cerca_dautore_2102_librivox;Sei personaggi in cerca d'autore;"LibriVox recording of Sei personaggi in cerca d'autore by Luigi Pirandello. Read in Italian by a full cast. In un teatro, in cui si sta provando una rappresentazione, irrompono sei ""personaggi"" che dotati di vita reale cercano un autore che gli permetta di realizzare e rappresentare il loro dramma. Quest'opera teatrale fu rappresentata per la prima volta il 9 maggio 1921 al teatro Valle di Roma (dunque nel 2021 ricorre il centesimo anniversario), ma in quell'occasione ebbe un esito tempestoso, perché molti spettatori contestarono la rappresentazione, sorpresi dalla novità della stessa che rappresenta il teatro nel teatro e uno dei primi esempi di teatro dell’assurdo. Successivamente l’opera ebbe il meritato successo. L'opera non è divisa in atti, per espressa indicazione dell'autore, ma l'azione è interrotta comunque in due punti che creano una naturale divisione dell'opera in tre parti. - Summary by Pier Personaggi e interpreti: Il narratore: Pier Il padre: Giovanni La madre:...";['Luigi Pirandello'];2021-02-09T00:00:00Z;['ita'];35153;418401611;['librivox', 'audiobooks', 'teatro', 'finzione', 'realtà', 'assurdo', 'Italiano'];audio;https://archive.org/details/sei_personaggi_in_cerca_dautore_2102_librivox;librivox, audiobooks, teatro, finzione, realtà, assurdo, Italiano, ;2021-02-09;6;35153;[{'url': 'https://archive.org/download/sei_personaggi_in_cerca_dautore_2102_librivox/6Personaggi_librivox.m4b', 'text': 'M4B Audiobook (69MB)'}]
349;storyofaristotlesphilosophy_2102_librivox;The Story of Aristotle's Philosophy;"LibriVox recording of The Story of Aristotle's Philosophy by Will Durant. Read in English by Pamela Nagami This little Blue Book No. 39, by Will Durant, deals with Aristotle (384-322 B.C.E.), a Macedonian pupil of Plato, who became the teacher of Prince Alexander. While his pupil went off to conquer the world, Aristotle returned to Athens and founded his school, the Lyceum. There he amassed the first great collection of plants and animals and laid the foundations of biology, logic, literary theory, ethics, and political science. Departing from abstract Platonic universals, Aristotle described such natural processes as the developing embryo of the chick. He saw the universe as matter in motion with God as its first impulsive force. Aristotle was skeptical of Utopias. Social evils do not ""arise out of the possession of private property,"" he wrote, but ""from quite another source--the wickedness of human nature."" At the theater he said we enjoy tragedies which elicit pity and terror, but...";['Will Durant'];2021-02-21T00:00:00Z;['eng'];65540;353127096;"['librivox', 'audiobooks', 'ethics', 'logic', 'plato', 'democracy', 'metaphysics', 'aristotle', 'greek tragedy', 'alexander the great', ""aristotle's poetics"", 'lyceum', 'peripatetic school', 'greek science', 'heraclitus', 'pythagoras']";audio;https://archive.org/details/storyofaristotlesphilosophy_2102_librivox;librivox, audiobooks, ethics, logic, plato, democracy, metaphysics, aristotle, greek tragedy, alexander the great, aristotle's poetics, lyceum, peripatetic school, greek science, heraclitus, pythagoras, ;2021-02-21;24;65540;[{'url': 'https://archive.org/download/storyofaristotlesphilosophy_2102_librivox/StoryAristotlesPhilosophy_librivox.m4b', 'text': 'M4B Audiobook (58MB)'}]
350;causes_of_civil_war_2106_librivox;The Causes Of The American Civil War;LibriVox recording of The Causes Of The American Civil War by John Lothrop Motley. Read in English by David Wales John Lothrop Motley (1814 – 1877) was an American author and popular diplomat, who helped to prevent European intervention on the side of the Confederates in the American Civil War. In 1861, just after the outbreak of the American Civil War, Motley wrote two letters to The Times defending the Federal position, and these letters, afterwards reprinted as [this] pamphlet entitled Causes of the Civil War in America, made a favourable impression on President Lincoln. Partly owing to this essay, Motley was appointed United States minister to the Austrian Empire in 1861, a position which he filled with distinction, working with other American diplomats such as John Bigelow and Charles Francis Adams to help prevent European intervention on the side of the Confederacy in the American Civil War. He resigned this position in 1867. Two years later, he was sent to represent his country...;['John Lothrop Motley'];2021-06-14T00:00:00Z;['eng'];40730;190745289;['librivox', 'audiobooks', 'American civil war', 'civil war', 'U.S. History', 'nineteenth century', 'analysis', 'causes'];audio;https://archive.org/details/causes_of_civil_war_2106_librivox;librivox, audiobooks, American civil war, civil war, U.S. History, nineteenth century, analysis, causes;2021-06-14;8;40730;[{'url': 'https://archive.org/download/causes_of_civil_war_2106_librivox/CausesAmericanCivilWar_librivox.m4b', 'text': 'M4B Audiobook (31MB)'}]
351;march_2108_librivox;Alguns dels poemes d'Ausiàs March;"LibriVox recording of Alguns dels poemes d'Ausiàs March by Ausiàs March. Read in Catalan by Maria Josep Altadill Aquest audiollibre conté diversos poemes del poeta valencià Ausiàs March. Aquests poemes són especialment coneguts per haver estat musicats pel cèlebre cantautor Raimon. Aquesta tria ha estat llegida per Maria Josep Altadill per a la campanya ""Donants de veu"", impulsada per la Universitat Oberta de Catalunya amb l'objectiu d'augmentar la presència de la literatura en català en el mon de l'audiollibre. Ausiàs March és la figura capdavantera de la poesia medieval en català, l'obra extensa del qual va ser àmpliament coneguda al seu temps (segle XV) i posteriorment en el conjunt de les literatures hispàniques. This audiobook contains several poems by the Valencian poet Ausiàs March. Those poems are well known for being set to music by the famous singer Raimon. This selection have been read by Maria Josep Altadill for the campaign ""Donants de veu"", organized under the auspices...";['Ausiàs March'];2021-08-23T00:00:00Z;['cat'];25727;50395484;['librivox', 'audiobooks', 'donantsdeveu'];audio;https://archive.org/details/march_2108_librivox;librivox, audiobooks, donantsdeveu;2021-08-23;1;25727;[{'url': 'https://archive.org/download/march_2108_librivox/AlgunsMarch_librivox.m4b', 'text': 'M4B Audiobook (8MB)'}]
352;the_fortunes_of_nigel_2108_librivox;The Fortunes of Nigel;LibriVox recording of The Fortunes of Nigel by Sir Walter Scott. Read in English by Jim Locke During the turbulent moment in English history involving King James 1 and 6, Nigel Olifaunt, a Scottish lord, seeks to protect his family home and holdings, but meets with recalcitrance and treachery, which eventually results in his imprisonment. But there are forces of good that help to set him free and right injustices. For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook 01-20 (264MB) M4B Audiobook 21-39 (241MB);['Sir Walter Scott'];2021-08-20T00:00:00Z;['eng'];34116;3027654092;['librivox', 'audiobooks'];audio;https://archive.org/details/the_fortunes_of_nigel_2108_librivox;librivox, audiobooks, ;2021-08-20;;34116;[{'url': 'https://archive.org/download/the_fortunes_of_nigel_2108_librivox/FortunesNigel01-20_librivox.m4b', 'text': 'M4B Audiobook 01-20 (264MB)'}, {'url': 'https://archive.org/download/the_fortunes_of_nigel_2108_librivox/FortunesNigel21-39_librivox.m4b', 'text': 'M4B Audiobook 21-39 (241MB)'}]
353;das_geschlecht_der_zukunft_2110_librivox;Das Geschlecht der Zukunft;"LibriVox Aufnahme von Das Geschlecht der Zukunft by Edward Bulwer-Lytton. (Übersetzung von Jenny Piorkowska.) Auf Deutsch gelesen von LibriVox Freiwilligen. Durch einen Unfall entdeckt der Erzähler in einem Höhlensystem unter der Erdoberfläche eine ""ideale Gesellschaft"" von engelsgleichen Menschen, die sich irgendwann in der Evolutionsgeschichte vom Menschen abgespalten haben muss. Er lernt und denkt nach: Durch ihre Fürsorge und kulturelle Philosophie, durch die Andersartigkeit und Folgewirkungen des Aussehens und des Körperbaus, durch eine Aufnahme in eine Familie, durch eine neuartige Energie bzw. Physik, durch... lernt der Erzähler die eventuell ""ideale"" Gesellschaft kennen, in der ""das Geschlecht der Zukunft"" lebt. Das Buch ist eine Mischung aus ""Reise zum Mittelpunkt der Erde"" und ""Die Zeitmaschine"" - und somit klassische Sci Fi im Stile von Jules Verne oder H.G. Wells. Es wird meist als theosophisch beschrieben und bietet einiges an Philosophie - und auch Provokation!...";['Edward Bulwer-Lytton'];2021-10-14T00:00:00Z;['deu'];38625;992817941;['librivox', 'audiobooks', 'Deutsch', 'German', 'Hörbuch', 'scifi', 'Science Fiction', 'Philosophie', 'zukunftsvision'];audio;https://archive.org/details/das_geschlecht_der_zukunft_2110_librivox;librivox, audiobooks, Deutsch, German, Hörbuch, scifi, Science Fiction, Philosophie, zukunftsvision, ;2021-10-14;2;38625;[{'url': 'https://archive.org/download/das_geschlecht_der_zukunft_2110_librivox/Geschlecht_Zukunf_librivox.m4b', 'text': 'M4B Audiobook (162MB)'}]
354;drgrimshawessecret_2110_librivox;Doctor Grimshawe’s Secret;LibriVox recording of Doctor Grimshawe’s Secret by Nathaniel Hawthorne. Read in English by LibriVox Volunteers Dr. Grimshawe is a spider-cultivating eccentric. The central secret of the book is an all-encompassing spiders web. The central character is loosely based on the author Nathaniel Hawthorne. He always considered the book as unfinished and it wasn't published until after his death by his son Julian. Summary by Michele Eaton For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (268MB);['Nathaniel Hawthorne'];2021-10-22T00:00:00Z;['eng'];43263;1641690691;['librivox', 'audiobooks', 'ghost', 'spiders', 'hawthorne', 'Gothic romance', 'mad scientist'];audio;https://archive.org/details/drgrimshawessecret_2110_librivox;librivox, audiobooks, ghost, spiders, hawthorne, Gothic romance, mad scientist;2021-10-22;7;43263;[{'url': 'https://archive.org/download/drgrimshawessecret_2110_librivox/DrGrimshawesSecret_librivox.m4b', 'text': 'M4B Audiobook (268MB)'}]
355;freedom_of_life_2112_librivox;The Freedom of Life;LibriVox recording of The Freedom of Life by Annie Payson Call. Read in English by Trek 'The Freedom of Life' is a mind-illuminating book, in which author Annie Payson Call (1853-1940) wrote about many of the troubles that we usually face mentally and physically in our lives. It shows the reader various perspectives of dealing with the mind and life. The reader will surely get a good understanding of his/her problems after reaching the end of this book. - Summary by Trek For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (93MB);['Annie Payson Call'];2021-12-30T00:00:00Z;['eng'];32197;566409643;['librivox', 'audiobooks', 'ideas', 'inner self', 'self-help book', 'freedom of life', 'own behaviour', 'conceptions'];audio;https://archive.org/details/freedom_of_life_2112_librivox;librivox, audiobooks, ideas, inner self, self-help book, freedom of life, own behaviour, conceptions;2021-12-30;7;32197;[{'url': 'https://archive.org/download/freedom_of_life_2112_librivox/FreedomLife_librivox.m4b', 'text': 'M4B Audiobook (93MB)'}]
356;lecture_02_2109_librivox;La Lecture, tome 2;"LibriVox recording of La Lecture, tome 2 by Various. Read in French by Milinbreizh; Christiane Jehanne; Margot; Isad; Stéphanie; Cocotte; Bidou; Ezwa; Rémi; Thomas Bouissaguet; Zénobie; Alexandre Ivan Kard; Kazbek; Sandra Schmit; Sonia; Pauline Latournerie La Lecture était une revue littéraire bi-mensuelle française de la fin du 19e siècle, publiant surtout des nouvelles en feuilleton, mais aussi de la poésie et des textes scientifiques. Voici le tome 2 qui rassemble les cinq parutions du 5 novembre au 25 décembre 1887. Personnages de la pièce ""La matinée d'un critique"", par Abraham Dreyfus (Section 107): Narrateur: Sonia Francollier: Pauline Latournerie Le monsieur: Thomas Bouissaguet Le chapeau rose: Margot La dame: Christiane Jehanne Berthelin: Sandra Schmit Le jeune homme: Rémi La petite chose: Cocotte Le second jeune homme: Kazbek La petite femme: Stéphanie - Summary by Sonia For further information, including links to online text, reader information, RSS feeds, CD cover or other...";['Various'];2021-09-06T00:00:00Z;['fre'];25779;3732918513;['librivox', 'audiobooks', 'feuilleton', 'magazine'];audio;https://archive.org/details/lecture_02_2109_librivox;librivox, audiobooks, feuilleton, magazine;2021-09-06;2;25779;[{'url': 'https://archive.org/download/lecture_02_2109_librivox/LaLecture2_001-049_librivox.m4b', 'text': 'M4B Audiobook 001-049 (223MB)'}, {'url': 'https://archive.org/download/lecture_02_2109_librivox/LaLecture2_050-099_librivox.m4b', 'text': 'M4B Audiobook 050-099 (205MB)'}, {'url': 'https://archive.org/download/lecture_02_2109_librivox/LaLecture2_100-123_librivox.m4b', 'text': 'M4B Audiobook 100-123 (189MB)'}]
357;nada_menos_que_todo_un_hombre_2103_librivox;Nada menos que todo un hombre;LibriVox recording of Nada menos que todo un hombre by Miguel de Unamuno. Read in Spanish by Mongope Alejandro, es un hombre muy rico llegado de no se sabe dónde y quizá con un pasado traumático. Es un hombre sencillo, pero terco y voluntarioso. Julia Yáñez, la beldad más codiciada de la provincia, es obligada a casarse con Alejandro, pero finalmente se enamora de él. Alejandro no sabe demostrar amor a Julia, para él esos son bobadas, tonterías de novelas. De las novelas que lee Julia: “Solamente los tontos hablan de estas cosas” suele decir. Y Julia no cesa de preguntarse ¿me quiere o no me quiere?. (Introducción por Montse González) For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org .  M4B Audiobook (45.9MB);['Miguel de Unamuno'];2021-03-13T00:00:00Z;['spa'];85138;282808039;['librivox', 'audiobooks', 'amor', 'duda existencial'];audio;https://archive.org/details/nada_menos_que_todo_un_hombre_2103_librivox;librivox, audiobooks, amor, duda existencial;2021-03-13;3;85138;[{'url': 'https://archive.org/download/nada_menos_que_todo_un_hombre_2103_librivox/NadaMenosTodoHombre_librivox.m4b', 'text': 'M4B Audiobook (45.9MB)'}]
